指标,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
旅行社数(个),,29717,27939,27621,26650,26054,24944,23690,22784,20399
星级饭店总数(个),,9566,11685,12327,12803,13293,12807,13513,13991,14237
入境游客(万人次),14119.83,13948.24,13844.38,13382.04,12849.83,12907.78,13240.53,13542.35,13376.22,12647.59
外国人入境游客(万人次),3054.29,2916.53,2815.12,2598.54,2636.1,2629,2719.15,2711.2,2612.69,2193.75
港澳同胞入境游客(万人次),10451.93,10444.59,10456.26,10233.64,9677.16,9762.5,9987.35,10304.85,10249.48,10005.44
台湾同胞入境游客(万人次),613.61,587.13,573,549.86,536.59,516.25,534.02,526.3,514.06,448.4
入境过夜游客(万人次),6289.57,6073.84,5926.73,5688.57,5562.2,5568.59,5772.49,5758.07,5566.45,5087.52
国内居民出境人数(万人次),16199.34,14272.74,13513,12786,11659.32,9818.52,8318.17,7025,5738.65,4765.62
国内居民因私出境人数(万人次),15501.69,13581.56,12850,12172,11002.91,9197.08,7705.51,6411.79,5150.79,4220.97
国内游客(万人次),553900,500100,444000,400000,361100,326200,295700,264100,210300,190200
国际旅游外汇收入,127103.01,123417,120000,113650,56913,51664,50028,48464,45814,39675
国内旅游总花费,51278.29,45660.77,39390,34195.05,30311.86,26276.12,22706.2,19305.39,12579.77,10183.7
